zone_corecrabe.nom,region.nom,district.nom,commune.nom,village.nom,fiche_enqueteur.capture_poids,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,crabe.sexe,crabe.taille
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-16,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-28,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,100
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-29,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,4,2021-09-16,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,NO,108
