zone_corecrabe.nom,region.nom,district.nom,commune.nom,village.nom,fiche_enqueteur.capture_poids,nombre_sortie_capture,crabe.sexe,crabe.taille
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,123
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,123
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,127
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,129
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,131
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,132
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,132
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,132
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,134
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,135
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,137
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,144
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,M,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,80
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,104
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,121
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,123
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,124
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,125
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,127
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,128
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,7,1,NO,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,80
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,95
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,96
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,104
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,124
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,135
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,151
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,155
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,M,160
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,91
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,100
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,106
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,134
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,1,NO,160
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,100
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,104
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,M,160
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,102
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,116
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,8,2,NO,128
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,100
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,100
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,104
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,105
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,127
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,131
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,139
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,144
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,153
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,155
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,160
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,M,160
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,99
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,101
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,103
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,104
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,107
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,108
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,110
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,111
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,112
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,117
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,118
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,120
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,130
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,133
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,140
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,141
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,141
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,144
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,145
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,150
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,151
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,1,NO,155
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,109
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,113
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,114
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,115
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,119
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,123
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,134
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,M,155
Morondava,Menabe (Morondava),Belo sur Tsiribihina,Tsimafana,Kaday,9,2,NO,107
