zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_individu,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.crabe_consomme_nombre,fiche_enqueteur.collecte_poids1,fiche_enqueteur.collecte_prix1,fiche_enqueteur.collecte_poids2,fiche_enqueteur.collecte_prix2,fiche_enqueteur.marche_local_poids,fiche_enqueteur.marche_local_prix,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,date_sortie_de_peche2,nombre_sortie_de_peche2,nombre_de_pirogue_sortie_de_peche2,nom_premier_engin2,nombre_premier_engin2,nom_deuxieme_engin2,nombre_deuxieme_engin2,date_sortie_de_peche3,nombre_sortie_de_peche3,nombre_de_pirogue_sortie_de_peche3,nom_premier_engin3,nombre_premier_engin3,nom_deuxieme_engin3,nombre_deuxieme_engin3,date_sortie_de_peche4,nombre_sortie_de_peche4,nombre_de_pirogue_sortie_de_peche4,nom_premier_engin4,nombre_premier_engin4,nom_deuxieme_engin4,nombre_deuxieme_engin4,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,echantillon.poids,crabe.destination,crabe.sexe,crabe.taille
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,M,122
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,M,134
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,M,136
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,M,146
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,M,150
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,M,196
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,90
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,103
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,110
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,111
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,114
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,126
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,126
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,130
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,131
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,134
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,134
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,18,0,,18,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),70,,0,2021-09-12,1,1,Nasse_(Treko),70,,0,2021-09-11,1,1,Nasse_(Treko),70,,0,2021-09-10,0,0,,0,,0,3,true,plus petit,,11,1,NO,144
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,FO,134
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,FO,141
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,FO,147
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,FO,148
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,FO,153
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,M,110
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,M,116
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,M,126
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,M,126
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,M,127
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,M,134
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,89
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,90
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,100
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,118
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,123
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,124
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,130
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,130
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,130
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,1,NO,133
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,M,33
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,M,40
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,M,56
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,M,80
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,M,80
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,M,118
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,NO,44
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,NO,57
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-13,seul,0,25,2,,23,3000,,,0,0,2021-09-13,1,1,Nasse_(Treko),30,,0,2021-09-12,1,1,Nasse_(Treko),30,,0,2021-09-11,1,1,Nasse_(Treko),30,,0,2021-09-10,1,1,Nasse_(Treko),30,,0,4,false,plus gros,,9,3,NO,84
Mahajanga,Boeny,Mitsinjo,Matsakabanja,Ampitsopitsoka, Ampitsopitsoka,2021-09-19,2021-09-14,seul,0,27,0,,17,3000,,,10,1000,2021-09-14,1,1,"Balance_(Garigary,_Kiriry)",30,,0,2021-09-13,1,1,"Balance_(Garigary,_Kiriry)",30,,0,2021-09-12,1,1,"Balance_(Garigary,_Kiriry)",30,,0,2021-09-11,1,1,"Balance_(Garigary,_Kiriry)",30,,0,4,true,plus petit,,11,1,FO,127
