village.nom;fiche_enqueteur.date
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2021-12-18
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-09
Ambatoraikitra;2022-01-21
Ambatoraikitra;2022-01-21
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-01-26
Ambatoraikitra;2022-02-03
Ambatoraikitra;2022-02-03
Ambatoraikitra;2022-02-03
Ambatoraikitra;2022-02-03
Ambatoraikitra;2022-02-03
Ambatoraikitra;2022-02-03
Ambatoraikitra;2022-02-04
Ambatoraikitra;2022-02-04
Ambatoraikitra;2022-02-04
Ambatoraikitra;2022-02-04
Ambatoraikitra;2022-02-04
Ambatoraikitra;2022-02-04
Ambatoraikitra;2022-02-09
Ambatoraikitra;2022-02-09
Ambatoraikitra;2022-02-10
Ambatoraikitra;2022-02-10
Ambatoraikitra;2022-02-10
Ambatoraikitra;2022-02-10
Ambatoraikitra;2022-02-10
Ambatoraikitra;2022-02-10
