zone_corecrabe.nom,region.nom,district.nom,commune.nom,fokontany.nom,village.nom,fiche.date_expedition,fiche_enqueteur.date,fiche_enqueteur.participant_individu,fiche_enqueteur.participant_nombre,fiche_enqueteur.capture_poids,fiche_enqueteur.crabe_consomme_poids,fiche_enqueteur.crabe_consomme_nombre,fiche_enqueteur.collecte_poids1,fiche_enqueteur.collecte_prix1,fiche_enqueteur.collecte_poids2,fiche_enqueteur.collecte_prix2,fiche_enqueteur.marche_local_poids,fiche_enqueteur.marche_local_prix,date_sortie_de_peche1,nombre_sortie_de_peche1,nombre_de_pirogue_sortie_de_peche1,nom_premier_engin1,nombre_premier_engin1,nom_deuxieme_engin1,nombre_deuxieme_engin1,date_sortie_de_peche2,nombre_sortie_de_peche2,nombre_de_pirogue_sortie_de_peche2,nom_premier_engin2,nombre_premier_engin2,nom_deuxieme_engin2,nombre_deuxieme_engin2,date_sortie_de_peche3,nombre_sortie_de_peche3,nombre_de_pirogue_sortie_de_peche3,nom_premier_engin3,nombre_premier_engin3,nom_deuxieme_engin3,nombre_deuxieme_engin3,date_sortie_de_peche4,nombre_sortie_de_peche4,nombre_de_pirogue_sortie_de_peche4,nom_premier_engin4,nombre_premier_engin4,nom_deuxieme_engin4,nombre_deuxieme_engin4,nombre_sortie_capture,echantillon.trie,echantillon.taille_absente,echantillon.taille_absente_autre,crabe.destination,crabe.sexe,crabe.taille
Mahajanga,Boeny,Soalala,Soalala,Anjiamaloto,Marotia,,2021-08-03,seul,0,4,1,2,1,1000,1,1000,1,500,2021-08-03,0,0,Non renseigné,0,Non renseigné,0,2021-08-02,0,0,Non renseigné,0,Non renseigné,0,2021-08-01,0,0,Non renseigné,0,Non renseigné,0,2021-07-31,0,0,Non renseigné,0,Non renseigné,0,0,true,autre,misy,2,M,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,M,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,M,120
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,M,130
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,M,130
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,NO,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,NO,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,2,0,,2,2500,0,,0,0,2021-08-13,1,1,"Balance (Garigary, Kiriry)",30,"Raquette (Kipaoky, Fisahoky, Fisaoka)",1,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,NO,100
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,5.5,0.5,4,5,2500,0,,0,0,2021-08-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,M,70
Mahajanga,Boeny,Soalala,Soalala,Ankera,Sambiravo,2021-02-20,2021-08-13,seul,0,5.5,0.5,4,5,2500,0,,0,0,2021-08-13,1,1,"Crochet (Fingavitra, Kavitry, Fiavitry)",1,Non renseigné,0,2021-08-12,0,0,Non renseigné,0,Non renseigné,0,2021-08-11,0,0,Non renseigné,0,Non renseigné,0,2021-08-10,0,0,Non renseigné,0,Non renseigné,0,1,false,plus gros,,1,M,80
