village.nom;fiche_acheteur.date;fiche_acheteur.collecte_poids1;fiche_acheteur.collecte_prix1;fiche_acheteur.collecte_poids2;fiche_acheteur.collecte_prix2;fiche_acheteur.marche_local_poids;fiche_acheteur.marche_local_prix;fiche_acheteur.crabe_non_vendu_poids;fiche_acheteur.crabe_non_vendu_nombre;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_vente
Ambohibe;2021-12-14;18;2000;;;0;0;4;16;2021-12-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-11;0;0;;0;;0;3
Ambohibe;2021-12-14;22;2000;;;0;0;5;19;2021-12-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;4
Ambohibe;2021-12-20;2.5;2500;3;700;0;0;18;3;2021-12-20;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-19;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-18;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-17;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-20;5;2500;4;700;0;0;14;4;2021-12-20;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-19;1;0;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;Angady;1;2021-12-18;1;0;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;Angady;1;2021-12-17;1;0;Balance_(Garigary,_Kiriry);3;Angady;1;2
Ambohibe;2021-12-20;8;2500;4;700;0;0;18;4;2021-12-20;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-19;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-18;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2
Ambohibe;2021-12-20;8;2500;5;700;0;0;30;5;2021-12-20;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-19;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-18;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;2021-12-17;1;1;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;;0;1
Ambohibe;2021-12-20;8;2500;6;700;0;0;30;6;2021-12-20;1;1;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-19;0;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-18;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;Angady;1;2021-12-17;1;0;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;Angady;1;2
Ambohibe;2021-12-20;10;2500;;;0;0;2;7;2021-12-20;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-19;0;0;;0;;0;2021-12-18;1;1;Balance_(Garigary,_Kiriry);24;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-17;0;0;;0;;0;2
Ambohibe;2021-12-20;11;2500;;;0;0;1;3;2021-12-20;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-19;1;1;Balance_(Garigary,_Kiriry);20;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-18;0;0;;0;;0;2021-12-17;0;0;;0;;0;2
Ambohibe;2021-12-20;15;2500;;;0;0;1;3;2021-12-20;0;0;;0;;0;2021-12-19;1;1;Balance_(Garigary,_Kiriry);29;Raquette_(Kipaoky,_Fisahoky,_Fisaoka);1;2021-12-18;0;0;;0;;0;2021-12-17;0;0;;0;;0;1
