zone_corecrabe.nom;region.nom;district.nom;commune.nom;fokontany.nom;village.nom;fiche.date_expedition;fiche_enqueteur.date;fiche_enqueteur.participant_individu;fiche_enqueteur.participant_nombre;fiche_enqueteur.capture_poids;fiche_enqueteur.crabe_consomme_poids;fiche_enqueteur.crabe_consomme_nombre;fiche_enqueteur.collecte_poids1;fiche_enqueteur.collecte_prix1;fiche_enqueteur.collecte_poids2;fiche_enqueteur.collecte_prix2;fiche_enqueteur.marche_local_poids;fiche_enqueteur.marche_local_prix;date_sortie_de_peche1;nombre_sortie_de_peche1;nombre_de_pirogue_sortie_de_peche1;nom_premier_engin1;nombre_premier_engin1;nom_deuxieme_engin1;nombre_deuxieme_engin1;date_sortie_de_peche2;nombre_sortie_de_peche2;nombre_de_pirogue_sortie_de_peche2;nom_premier_engin2;nombre_premier_engin2;nom_deuxieme_engin2;nombre_deuxieme_engin2;date_sortie_de_peche3;nombre_sortie_de_peche3;nombre_de_pirogue_sortie_de_peche3;nom_premier_engin3;nombre_premier_engin3;nom_deuxieme_engin3;nombre_deuxieme_engin3;date_sortie_de_peche4;nombre_sortie_de_peche4;nombre_de_pirogue_sortie_de_peche4;nom_premier_engin4;nombre_premier_engin4;nom_deuxieme_engin4;nombre_deuxieme_engin4;nombre_sortie_capture;echantillon.trie;echantillon.taille_absente;echantillon.taille_absente_autre;echantillon.poids
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-07;seul;0;2.2;0.2;2;1;4500;;;1;3000;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;2022-02-04;0;0;;0;;0;1;false;plus gros;;2.2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-07;seul;0;3;0;0;1;4500;;;2;3000;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;2022-02-04;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-08;seul;0;2;0;0;0;4500;;;2;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);3;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-08;seul;0;2;0;0;2;4500;;;0;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-08;seul;0;2;0;0;2;4500;;;0;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-08;seul;0;4;0;0;1;4500;;;3;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-08;seul;0;4;0;0;2;4500;;;2;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-06;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-05;1;1;Balance_(Garigary,_Kiriry);4;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-08;seul;0;5;0;0;2;4500;;;3;3000;2022-02-08;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-07;0;0;;0;;0;2022-02-06;0;0;;0;;0;2022-02-05;0;0;;0;;0;1;false;plus gros;;5
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-09;seul;0;1.4;0.4;3;1;4500;;;0;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;0;0;;0;;0;2022-02-06;0;0;;0;;0;1;false;plus gros;;1.4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-09;seul;0;2;0;0;1;4500;;;1;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;0;0;;0;;0;2022-02-06;0;0;;0;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-09;seul;0;2;0;0;2;4500;;;0;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;0;0;;0;;0;2022-02-07;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-06;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-09;seul;0;3;0;0;2;4500;;;1;3000;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;0;0;;0;;0;2022-02-06;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-10;seul;0;1.7;0.7;6;1;4500;;;0;3000;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;0;0;;0;;0;2022-02-07;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;1.7
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-10;seul;0;2;0;0;1;4500;;;1;3000;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-10;seul;0;2.4;0.4;3;1;4500;;;1;3000;2022-02-10;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);3;;0;1;false;plus gros;;2.4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-10;seul;0;3;0;0;2;4500;;;1;3000;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-07;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-10;seul;0;3.6;0.6;5;2;4500;;;1;3000;2022-02-10;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-09;0;0;;0;;0;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-07;1;1;Balance_(Garigary,_Kiriry);4;;0;1;false;plus gros;;3.6
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-10;seul;0;4;0;0;1;4500;;;3;3000;2022-02-10;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-09;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-08;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-07;0;0;;0;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-11;seul;0;1.5;0.5;4;1;4500;;;0;3000;2022-02-11;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-10;0;0;;0;;0;2022-02-09;0;0;;0;;0;2022-02-08;0;0;;0;;0;1;false;plus gros;;1.5
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-11;seul;0;2.2;0.2;2;1;4500;;;1;3000;2022-02-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-08;0;0;;0;;0;1;false;plus gros;;2.2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-11;seul;0;3;0;0;1;4500;;;2;3000;2022-02-11;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-10;0;0;;0;;0;2022-02-09;0;0;;0;;0;2022-02-08;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-11;seul;0;3;0;0;2;4500;;;1;3000;2022-02-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;0;0;;0;;0;2022-02-08;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-12;seul;0;1;0;0;1;4500;;;0;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-11;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-10;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-09;0;0;;0;;0;1;true;plus petit;;1
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-12;seul;0;2.5;0.5;4;2;4500;;;0;3000;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;0;0;;0;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-09;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;true;plus petit;;2.5
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-12;seul;0;3;0;0;1;4500;;;2;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-11;0;0;;0;;0;2022-02-10;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-09;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-12;seul;0;3.4;0.4;3;2;4500;;;1;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-11;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-10;0;0;;0;;0;2022-02-09;1;1;Balance_(Garigary,_Kiriry);3;;0;1;false;plus gros;;3.4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-12;seul;0;4;0;0;2;4500;;;2;3000;2022-02-12;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-11;1;1;Balance_(Garigary,_Kiriry);5;;0;2022-02-10;0;0;;0;;0;2022-02-09;0;0;;0;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-13;seul;0;2;0;0;1;4500;;;1;3000;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-10;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-13;seul;0;2;0;0;2;4500;;;0;3000;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;0;0;;0;;0;2022-02-10;0;0;;0;;0;1;true;plus petit;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-13;seul;0;2.5;0.5;4;2;4500;;;0;3000;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-12;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-11;0;0;;0;;0;2022-02-10;0;0;;0;;0;1;false;plus gros;;2.5
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-15;seul;0;2;0;0;1;4500;;;1;3000;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-13;0;0;;0;;0;2022-02-12;0;0;;0;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-15;seul;0;3;0;0;2;4500;;;1;3000;2022-02-15;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-14;0;0;;0;;0;2022-02-13;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-12;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;amis;1;4;0;0;2;4500;;;2;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;2022-02-13;0;0;;0;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;seul;0;2.2;0.2;3;2;4500;;;0;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;0;0;;0;;0;2022-02-13;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;1;false;plus gros;;2.2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;seul;0;2.5;0.5;4;1;4500;;;1;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-13;0;0;;0;;0;1;false;plus gros;;2.5
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;seul;0;3;0;0;1;4500;;;2;3000;2022-02-16;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;2022-02-13;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;seul;0;3;0;0;2;4500;;;1;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-13;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;seul;0;3;0;0;2;4500;;;1;3000;2022-02-16;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;2022-02-13;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-16;seul;0;4;0;0;2;4500;;;2;3000;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;2022-02-13;0;0;;0;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-17;seul;0;2;0;0;1;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-17;seul;0;2;0;0;2;4500;;;0;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1;false;plus gros;;2
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-17;seul;0;3;0;0;2;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-17;seul;0;3;0;0;2;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-14;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-17;seul;0;3;0;0;2;4500;;;1;3000;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;2022-02-14;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-18;seul;0;3;0;0;2;4500;;;1;3000;2022-02-18;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;2022-02-15;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-18;seul;0;3;0;0;2;4500;;;1;3000;2022-02-18;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-16;1;1;Balance_(Garigary,_Kiriry);3;;0;2022-02-15;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-18;seul;0;4;0;0;2;4500;;;2;3000;2022-02-18;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-16;0;0;;0;;0;2022-02-15;1;1;Balance_(Garigary,_Kiriry);4;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-18;seul;0;4;0;0;3;4500;;;1;3000;2022-02-18;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-16;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-15;0;0;;0;;0;1;false;plus gros;;4
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-19;seul;0;3;0;0;2;4500;;;1;3000;2022-02-19;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-18;0;0;;0;;0;2022-02-17;1;0;Crochet_(Fingavitra,_Kavitry,_Fiavitry);1;;0;2022-02-16;0;0;;0;;0;1;false;plus gros;;3
Ambanja;Diana;Ambilobe;Beramanja;Ankazomahity;Ankazomahity;2022-02-28;2022-02-19;seul;0;5;0;0;3;4500;;;2;3000;2022-02-19;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-18;0;0;;0;;0;2022-02-17;1;1;Balance_(Garigary,_Kiriry);4;;0;2022-02-16;1;1;Balance_(Garigary,_Kiriry);4;;0;1;false;plus gros;;5
